YYYYMM;PRCP
197112;1034.3809523809523
197201;1179.5238095238096
197202;839.2380952380952
197203;1265.7619047619048
197204;1470.6190476190477
197205;2069.190476190476
197206;1760.95
197207;1080.65
197208;1496.5238095238096
197209;1187.55
197210;1621.6190476190477
197211;2015.904761904762
197212;847.9047619047619
197301;746.9047619047619
197302;435.76190476190476
197303;1082.6666666666667
197304;1461.2380952380952
197305;1695.6666666666667
197306;2289.809523809524
197307;2145.4761904761904
197308;2306.5714285714284
197309;2345.3809523809523
197310;2427.714285714286
197311;3209.4285714285716
197312;1770.2857142857142
197401;1399.7619047619048
197402;1500.2380952380952
197403;1377.4761904761904
197404;1782.904761904762
197405;1968.6666666666667
197406;1867.2380952380952
197407;1773.4761904761904
197408;1578.857142857143
197409;2229.285714285714
197410;2745.285714285714
197411;2297.809523809524
197412;1038.3809523809523
197501;816.1
197502;1249.3
197503;1562.7
197504;1451.65
197505;2489.0
197506;2265.4
197507;1968.55
197508;2419.6
197509;2122.85
197510;2674.8
197511;2739.7
197512;1681.3809523809523
197601;916.3333333333334
197602;794.8571428571429
197603;1325.904761904762
197604;1851.142857142857
197605;1851.1904761904761
197606;1927.0
197607;1297.6190476190477
197608;1556.952380952381
197609;1272.2380952380952
197610;2390.904761904762
197611;1552.3809523809523
197612;1039.7619047619048
197701;541.1428571428571
197702;699.8181818181819
197703;1129.5416666666667
197704;1266.4583333333333
197705;1983.5454545454545
197706;2007.4545454545455
197707;1615.1904761904761
197708;1877.095238095238
197709;1751.8636363636363
197710;2148.217391304348
197711;1781.7391304347825
197712;843.0952380952381
197801;619.6666666666666
197802;667.2916666666666
197803;1333.142857142857
197804;2566.904761904762
197805;2199.095238095238
197806;1898.3333333333333
197807;1804.904761904762
197808;1641.909090909091
197809;1609.391304347826
197810;2112.7391304347825
197811;1535.0434782608695
197812;1290.0
197901;643.7272727272727
197902;732.2173913043479
197903;1268.6666666666667
197904;2069.9545454545455
197905;1901.9545454545455
197906;2285.4285714285716
197907;1374.7391304347825
197908;2002.0454545454545
197909;1812.3333333333333
197910;2560.409090909091
197911;2138.3809523809523
197912;990.952380952381
198001;1147.857142857143
198002;827.3809523809524
198003;842.3809523809524
198004;1351.6190476190477
198005;1872.952380952381
198006;2064.3333333333335
198007;1658.2857142857142
198008;1321.5238095238096
198009;1881.095238095238
198010;2262.5714285714284
198011;1649.3809523809523
198012;1396.2380952380952
198101;654.1904761904761
198102;1513.4
198103;1387.1904761904761
198104;2470.095238095238
198105;2605.6666666666665
198106;2101.1428571428573
198107;1769.3809523809523
198108;2162.15
198109;1812.7142857142858
198110;2431.6666666666665
198111;2333.9523809523807
198112;1865.15
198201;1380.8
198202;1309.2
198203;1288.4
198204;2427.7
198205;2560.05
198206;1671.65
198207;1601.95
198208;1267.1
198209;1847.2
198210;2363.7
198211;1594.9
198212;1269.25
198301;544.15
198302;869.95
198303;1594.1
198304;2572.6
198305;2272.1
198306;1464.45
198307;1426.8
198308;1225.7
198309;1994.3
198310;2333.9
198311;1539.85
198312;1733.35
198401;1540.4736842105262
198402;1817.6842105263158
198403;1435.9473684210527
198404;1867.2777777777778
198405;2264.0526315789475
198406;2291.157894736842
198407;2188.7368421052633
198408;2021.7368421052631
198409;2203.35
198410;2543.1
198411;2423.9
198412;1162.95
198501;758.3157894736842
198502;378.8421052631579
198503;1059.3684210526317
198504;1690.65
198505;1892.05
198506;1715.55
198507;1781.7
198508;2292.6
198509;1899.4
198510;2461.05
198511;1624.2631578947369
198512;1117.7368421052631
198601;893.1052631578947
198602;1173.7894736842106
198603;1175.3157894736842
198604;2047.1052631578948
198605;2143.9473684210525
198606;2258.2105263157896
198607;1351.157894736842
198608;1559.9473684210527
198609;1614.842105263158
198610;3398.1052631578946
198611;1774.8947368421052
198612;655.3684210526316
198701;754.8571428571429
198702;646.625
198703;1307.3478260869565
198704;1909.1666666666667
198705;2391.625
198706;1204.304347826087
198707;2360.4347826086955
198708;1549.4583333333333
198709;1921.2272727272727
198710;2786.9166666666665
198711;1661.75
198712;1007.5217391304348
198801;979.6363636363636
198802;996.8695652173913
198803;601.5652173913044
198804;1931.2916666666667
198805;1882.9583333333333
198806;2234.9583333333335
198807;2037.0833333333333
198808;2601.5
198809;2150.7272727272725
198810;2750.521739130435
198811;2788.2083333333335
198812;1666.3181818181818
198901;1219.695652173913
198902;1018.4166666666666
198903;1513.5
198904;1360.625
198905;1909.5833333333333
198906;2035.6818181818182
198907;1525.7826086956522
198908;1657.0434782608695
198909;2134.1304347826085
198910;2540.304347826087
198911;1531.0869565217392
198912;1233.1304347826087
199001;972.0833333333334
199002;1063.391304347826
199003;1303.4583333333333
199004;1893.4347826086957
199005;1853.3636363636363
199006;1357.5
199007;1601.9130434782608
199008;1346.7826086956522
199009;1521.391304347826
199010;2902.6363636363635
199011;2133.217391304348
199012;1684.304347826087
199101;633.4545454545455
199102;707.5
199103;1550.952380952381
199104;1689.6363636363637
199105;2128.181818181818
199106;1664.3636363636363
199107;1613.3636363636363
199108;1633.3181818181818
199109;1815.1818181818182
199110;1610.3181818181818
199111;2048.409090909091
199112;780.9090909090909
199201;665.5909090909091
199202;485.70588235294116
199203;655.3636363636364
199204;1366.0
199205;2000.6363636363637
199206;1620.1363636363637
199207;1353.857142857143
199208;1545.3636363636363
199209;2202.590909090909
199210;1561.0454545454545
199211;1811.8636363636363
199212;1119.4761904761904
199301;1009.3636363636364
199302;1028.590909090909
199303;1332.2631578947369
199304;1905.9444444444443
199305;571.0
199306;771.7142857142857
199307;295.6363636363636
199308;1303.7222222222222
199309;2186.9545454545455
199310;2316.818181818182
199311;2419.3636363636365
199312;1090.2272727272727
199401;1041.909090909091
199402;910.8636363636364
199403;1572.1363636363637
199404;1995.6363636363637
199405;2317.1363636363635
199406;1477.1818181818182
199407;1252.2272727272727
199408;1426.1739130434783
199409;1885.7272727272727
199410;1703.0
199411;2496.590909090909
199412;815.8636363636364
199501;538.4545454545455
199502;634.4090909090909
199503;1374.0
199504;1912.8181818181818
199505;2135.7727272727275
199506;2117.1304347826085
199507;2211.0454545454545
199508;1989.8181818181818
199509;1871.4545454545455
199510;2294.5454545454545
199511;1866.8181818181818
199512;1473.7826086956522
199601;1164.5652173913043
199602;1339.6521739130435
199603;1746.2608695652175
199604;1645.391304347826
199605;2546.608695652174
199606;2419.304347826087
199607;2467.913043478261
199608;1857.0434782608695
199609;1943.7391304347825
199610;2400.1739130434785
199611;1926.409090909091
199612;1286.0
199701;1470.7391304347825
199702;1138.1739130434783
199703;928.5652173913044
199704;1656.608695652174
199705;1718.1304347826087
199706;2061.7391304347825
199707;998.0
199708;1235.7826086956522
199709;1689.391304347826
199710;1305.5652173913043
199711;1988.8260869565217
199712;641.6086956521739
199801;448.17391304347825
199802;633.5294117647059
199803;1276.9565217391305
199804;1820.304347826087
199805;2614.391304347826
199806;1962.391304347826
199807;2005.4347826086957
199808;1824.2608695652175
199809;1721.2173913043478
199810;2576.4347826086955
199811;2022.608695652174
199812;1734.4347826086957
199901;1242.608695652174
199902;1989.0
199903;1272.608695652174
199904;2199.9565217391305
199905;1972.0434782608695
199906;2113.478260869565
199907;1555.0434782608695
199908;1879.304347826087
199909;2587.478260869565
199910;2875.6521739130435
199911;2374.6521739130435
199912;1880.304347826087
200001;1182.7826086956522
200002;1640.5652173913043
200003;1299.304347826087
200004;1524.304347826087
200005;2870.0434782608695
200006;1991.1739130434783
200007;1829.1739130434783
